Enemy,Damage Taken
Jaw Worm,4.0
Slavers,4.0
Centurion and Healer,4.0
3 Shapes,4.0
Small Slimes,4.0
Exordium Wildlife,4.0
Cultist and Chosen,4.0
Book of Stabbing,4.0
3 Byrds,4.0
The Heart,4.0
Jaw Worm,4.0
Small Slimes,4.0
Cultist,4.0
Exordium Thugs,4.0
Small Slimes,4.0
Nemesis,4.0
Looter,4.0
Writhing Mass,4.0
Nemesis,4.0
Champ,4.0
Small Slimes,4.0
Small Slimes,4.0
Lagavulin,4.0
3 Shapes,4.0
Hexaghost,4.0
Small Slimes,4.0
3 Louse,4.0
Snake Plant,4.0
Gremlin Nob,4.0
Reptomancer,4.0
2 Fungi Beasts,4.0
Looter,4.0
Snecko,4.0
Blue Slaver,4.0
Small Slimes,4.0
Small Slimes,4.0
Giant Head,4.0
Lagavulin,3.0
Transient,3.0
2 Louse,3.0
Reptomancer,3.0
Awakened One,3.0
Exordium Thugs,3.0
Small Slimes,3.0
Champ,3.0
Automaton,3.0
Time Eater,3.0
Shield and Spear,3.0
Cultist,3.0
4 Shapes,3.0
Snake Plant,3.0
Small Slimes,3.0
Jaw Worm Horde,3.0
Orb Walker,3.0
Jaw Worm,3.0
Gremlin Nob,3.0
Slavers,3.0
Small Slimes,3.0
Looter,3.0
Looter,3.0
Shelled Parasite and Fungi,3.0
Looter,3.0
Jaw Worm,3.0
Snake Plant,3.0
Collector,3.0
Cultist,3.0
Snake Plant,3.0
Blue Slaver,3.0
Gremlin Nob,3.0
Gremlin Nob,3.0
Gremlin Gang,3.0
Gremlin Nob,3.0
Spheric Guardian,3.0
2 Thieves,3.0
Blue Slaver,3.0
2 Fungi Beasts,2.0
Small Slimes,2.0
Snake Plant,2.0
Gremlin Gang,2.0
Snecko,2.0
Mind Bloom Boss Battle,2.0
Donu and Deca,2.0
Blue Slaver,2.0
3 Byrds,2.0
2 Thieves,2.0
3 Darklings,2.0
Masked Bandits,2.0
Shield and Spear,2.0
3 Cultists,2.0
2 Thieves,2.0
Large Slime,2.0
Exordium Thugs,2.0
Cultist,2.0
Collector,2.0
Cultist,2.0
Snecko,2.0
Book of Stabbing,2.0
3 Byrds,2.0
Slime Boss,2.0
3 Louse,2.0
Looter,2.0
Slavers,2.0
Snecko,2.0
2 Fungi Beasts,2.0
Lots of Slimes,2.0
3 Byrds,2.0
Small Slimes,2.0
Jaw Worm,2.0
Reptomancer,2.0
3 Shapes,2.0
Small Slimes,2.0
Slavers,2.0
Centurion and Healer,2.0
2 Fungi Beasts,2.0
Book of Stabbing,2.0
2 Louse,2.0
Jaw Worm,2.0
2 Thieves,2.0
Snake Plant,2.0
Small Slimes,2.0
Red Slaver,1.0
Looter,1.0
Writhing Mass,1.0
Shield and Spear,1.0
3 Louse,1.0
Time Eater,1.0
Gremlin Leader,1.0
Sphere and 2 Shapes,1.0
Exordium Thugs,1.0
Looter,1.0
Snecko,1.0
3 Shapes,1.0
Cultist,1.0
3 Shapes,1.0
The Heart,1.0
Jaw Worm,1.0
Cultist,1.0
Snake Plant,1.0
Spheric Guardian,1.0
Hexaghost,1.0
Centurion and Healer,1.0
Spheric Guardian,1.0
Jaw Worm,1.0
Cultist and Chosen,1.0
Looter,1.0
Small Slimes,1.0
Jaw Worm,1.0
Masked Bandits,1.0
Small Slimes,1.0
Small Slimes,1.0
Slavers,1.0
Looter,1.0
Cultist,1.0
Shield and Spear,1.0
Spire Growth,1.0
Small Slimes,1.0
Exordium Wildlife,1.0
Jaw Worm,1.0
Small Slimes,1.0
3 Louse,1.0
Cultist,1.0
Jaw Worm,1.0
Slavers,1.0
Cultist,1.0
Hexaghost,1.0
2 Fungi Beasts,1.0
Orb Walker,1.0
2 Orb Walkers,1.0
Book of Stabbing,1.0
Cultist,1.0
Book of Stabbing,1.0
Orb Walker,1.0
2 Louse,1.0
Writhing Mass,1.0
Transient,1.0
Cultist,1.0
2 Thieves,1.0
Chosen and Byrds,1.0
Automaton,1.0
Exordium Wildlife,1.0
Gremlin Gang,1.0
Time Eater,0.0
3 Sentries,0.0
3 Byrds,0.0
Donu and Deca,0.0
Centurion and Healer,0.0
Spheric Guardian,0.0
3 Shapes,0.0
Shield and Spear,0.0
Snake Plant,0.0
Snake Plant,0.0
Cultist,0.0
Small Slimes,0.0
Colosseum Slavers,0.0
Slavers,0.0
Centurion and Healer,0.0
Slavers,0.0
3 Cultists,0.0
Automaton,0.0
Shell Parasite,0.0
Chosen,0.0
2 Louse,0.0
Small Slimes,0.0
Gremlin Leader,0.0
Cultist and Chosen,0.0
2 Thieves,0.0
Exordium Thugs,0.0
Blue Slaver,0.0
Looter,0.0
Automaton,0.0
Snecko,0.0
Cultist,0.0
Slavers,0.0
Orb Walker,0.0
Orb Walker,0.0
2 Orb Walkers,0.0
3 Darklings,0.0
4 Shapes,0.0
Spire Growth,0.0
Sphere and 2 Shapes,0.0
Gremlin Leader,0.0
Sphere and 2 Shapes,0.0
Nemesis,0.0
Spire Growth,0.0
Reptomancer,0.0
Chosen and Byrds,0.0
Centurion and Healer,0.0
Exordium Wildlife,0.0
Shield and Spear,0.0
3 Shapes,0.0
Shield and Spear,0.0
Reptomancer,0.0
3 Byrds,0.0
Exordium Wildlife,0.0
3 Byrds,0.0
Large Slime,0.0
Lagavulin,0.0
2 Louse,0.0
2 Fungi Beasts,0.0
Cultist,0.0
Cultist,0.0
Exordium Wildlife,0.0
2 Louse,0.0
Small Slimes,0.0
Cultist,0.0
3 Louse,0.0
Looter,0.0
Looter,0.0
Exordium Thugs,0.0
Slime Boss,0.0
Blue Slaver,0.0
Jaw Worm,0.0
3 Byrds,0.0
Slime Boss,0.0
2 Louse,0.0
Gremlin Nob,0.0
Sphere and 2 Shapes,0.0
Cultist and Chosen,0.0
Gremlin Nob,0.0
Blue Slaver,0.0
Gremlin Leader,0.0
Small Slimes,0.0
Gremlin Nob,0.0
2 Louse,0.0
Small Slimes,0.0
Looter,0.0
Sphere and 2 Shapes,0.0
Giant Head,0.0
3 Sentries,0.0
Jaw Worm,0.0
Reptomancer,0.0
3 Shapes,0.0
Mind Bloom Boss Battle,0.0
2 Louse,0.0
2 Thieves,0.0
Small Slimes,0.0
3 Cultists,0.0
2 Louse,0.0
Centurion and Healer,0.0
Automaton,0.0
3 Sentries,0.0
Cultist,0.0
Slavers,0.0
Slime Boss,0.0
Spire Growth,0.0
2 Louse,0.0
2 Fungi Beasts,0.0
Giant Head,0.0
Cultist,0.0
2 Louse,0.0
Gremlin Leader,0.0
Looter,0.0
Nemesis,0.0
Shell Parasite,0.0
2 Thieves,0.0
3 Darklings,0.0
Giant Head,0.0
Spire Growth,0.0
Reptomancer,0.0
Awakened One,0.0
3 Darklings,0.0
Mind Bloom Boss Battle,0.0
Orb Walker,0.0
Cultist,0.0
Shield and Spear,0.0
Shelled Parasite and Fungi,0.0
Sphere and 2 Shapes,0.0
Spheric Guardian,0.0
Writhing Mass,0.0
Writhing Mass,0.0
Blue Slaver,0.0
Shelled Parasite and Fungi,0.0
2 Louse,0.0
Lots of Slimes,0.0
Chosen,0.0
Snake Plant,0.0
Shield and Spear,0.0
Gremlin Leader,0.0
Time Eater,0.0
Transient,0.0
Reptomancer,0.0
Gremlin Leader,0.0
Giant Head,0.0
Jaw Worm Horde,0.0
3 Shapes,0.0
Mind Bloom Boss Battle,0.0
Orb Walker,0.0
Collector,0.0
Book of Stabbing,0.0
Sentry and Sphere,0.0
Champ,0.0
3 Darklings,0.0
Slavers,0.0
Jaw Worm,0.0
Jaw Worm,0.0
Small Slimes,0.0
Spheric Guardian,0.0
Masked Bandits,0.0
3 Byrds,0.0
Snecko,0.0
Gremlin Nob,0.0
3 Sentries,0.0
Large Slime,0.0
Reptomancer,0.0
Chosen,0.0
Sentry and Sphere,0.0
Giant Head,0.0
3 Shapes,0.0
Jaw Worm,0.0
2 Louse,0.0
Spheric Guardian,0.0
2 Louse,0.0
4 Shapes,0.0
3 Darklings,0.0
Orb Walker,0.0
Large Slime,0.0
2 Louse,0.0
Reptomancer,0.0
3 Cultists,0.0
2 Louse,0.0
Gremlin Leader,0.0
Cultist and Chosen,0.0
The Heart,0.0
3 Darklings,0.0
3 Byrds,0.0
Lagavulin,0.0
Exordium Thugs,0.0
3 Louse,0.0
Slavers,0.0
2 Fungi Beasts,0.0
2 Louse,0.0
Spire Growth,0.0
Looter,0.0
Shield and Spear,0.0
Colosseum Slavers,0.0
Donu and Deca,0.0
Time Eater,0.0
Nemesis,0.0
Orb Walker,0.0
Giant Head,0.0
3 Shapes,0.0
Collector,0.0
Sentry and Sphere,0.0
Giant Head,0.0
Colosseum Nobs,0.0
Centurion and Healer,0.0
Cultist,0.0
Snake Plant,0.0
Gremlin Nob,0.0
2 Louse,0.0
Blue Slaver,0.0
Large Slime,0.0
Gremlin Nob,0.0
2 Louse,0.0
Cultist,0.0
2 Louse,0.0
Cultist,0.0
Looter,0.0
Gremlin Leader,0.0
Exordium Wildlife,0.0
Small Slimes,0.0
Large Slime,0.0
3 Byrds,0.0
2 Louse,0.0
2 Thieves,0.0
3 Shapes,0.0
Cultist,0.0
Orb Walker,0.0
Cultist and Chosen,0.0
2 Louse,0.0
Maw,0.0
Cultist,0.0
Gremlin Nob,0.0
Champ,0.0
Cultist,0.0
3 Sentries,0.0
Cultist,0.0
Small Slimes,0.0
Chosen,0.0
Maw,0.0
Nemesis,0.0
Slavers,0.0
Lots of Slimes,0.0
Centurion and Healer,0.0
Giant Head,0.0
2 Thieves,0.0
Snake Plant,0.0
2 Fungi Beasts,0.0
3 Darklings,0.0
4 Shapes,0.0
Slime Boss,0.0
Jaw Worm,0.0
2 Louse,0.0
Small Slimes,0.0
Gremlin Gang,0.0
3 Sentries,0.0
Slavers,0.0
Gremlin Leader,0.0
3 Shapes,0.0
Orb Walker,0.0
Spheric Guardian,0.0
Chosen and Byrds,0.0
Slavers,0.0
Maw,0.0
Slavers,0.0
Reptomancer,0.0
Snake Plant,0.0
3 Cultists,0.0
Cultist,0.0
3 Louse,0.0
Writhing Mass,0.0
Jaw Worm,0.0
2 Louse,0.0
Chosen,0.0
Gremlin Leader,0.0
Chosen and Byrds,0.0
Shield and Spear,0.0
Donu and Deca,0.0
3 Shapes,0.0
Reptomancer,0.0
Sphere and 2 Shapes,0.0
Nemesis,0.0
Jaw Worm,0.0
Automaton,0.0
Shield and Spear,0.0
3 Darklings,0.0
Nemesis,0.0
Sphere and 2 Shapes,0.0
Giant Head,0.0
3 Louse,0.0
2 Fungi Beasts,0.0
Spire Growth,0.0
Reptomancer,0.0
4 Shapes,0.0
2 Louse,0.0
Sphere and 2 Shapes,0.0
Nemesis,0.0
Reptomancer,0.0
2 Orb Walkers,0.0
Giant Head,0.0
Awakened One,0.0
Shield and Spear,0.0
Shield and Spear,0.0
Donu and Deca,0.0
Awakened One,0.0
Nemesis,0.0
Maw,0.0
Giant Head,0.0
4 Shapes,0.0
2 Louse,0.0
Time Eater,0.0
Snake Plant,0.0
Centurion and Healer,0.0
Cultist,0.0
Looter,0.0
Spheric Guardian,0.0
Blue Slaver,0.0
2 Fungi Beasts,0.0
Sentry and Sphere,0.0
Jaw Worm,0.0
2 Louse,0.0
Snecko,0.0
Chosen,0.0
Snecko,0.0
Jaw Worm,0.0
Spheric Guardian,0.0
Snecko,0.0
Slavers,0.0
Exordium Wildlife,0.0
Gremlin Leader,0.0
Centurion and Healer,0.0
Cultist,0.0
2 Louse,0.0
Giant Head,0.0
Colosseum Slavers,0.0
2 Louse,0.0
3 Louse,0.0
Large Slime,0.0
Cultist,0.0
Slavers,0.0
3 Darklings,0.0
2 Louse,0.0
3 Shapes,0.0
Cultist,0.0
Giant Head,0.0
Giant Head,0.0
Reptomancer,0.0
Jaw Worm,0.0
Blue Slaver,0.0
3 Shapes,0.0
Sphere and 2 Shapes,0.0
2 Louse,0.0
Orb Walker,0.0
Slavers,0.0
The Guardian,0.0
Chosen,0.0
Gremlin Leader,0.0
Slavers,0.0
4 Shapes,0.0
Book of Stabbing,0.0
Snecko,0.0
3 Shapes,0.0
Small Slimes,0.0
Cultist,0.0
Cultist,0.0
Shield and Spear,0.0
Jaw Worm Horde,0.0
Nemesis,0.0
Donu and Deca,0.0
3 Cultists,0.0
Nemesis,0.0
2 Louse,0.0
Mind Bloom Boss Battle,0.0
2 Louse,0.0
Blue Slaver,0.0
Jaw Worm,0.0
2 Louse,0.0
Cultist,0.0
Donu and Deca,0.0
Jaw Worm,0.0
Slavers,0.0
Book of Stabbing,0.0
Snake Plant,0.0
2 Thieves,0.0
2 Fungi Beasts,0.0
Lots of Slimes,0.0
3 Byrds,0.0
Jaw Worm,0.0
2 Louse,0.0
Reptomancer,0.0
4 Shapes,0.0
Maw,0.0
Time Eater,0.0
Transient,0.0
3 Darklings,0.0
Orb Walker,0.0
Maw,0.0
Orb Walker,0.0
Maw,0.0
Writhing Mass,0.0
Gremlin Leader,0.0
Nemesis,0.0
Sentry and Sphere,0.0
4 Shapes,0.0
2 Orb Walkers,0.0
Reptomancer,0.0
3 Darklings,0.0
Sphere and 2 Shapes,0.0
Giant Head,0.0
Giant Head,0.0
Large Slime,0.0
Looter,0.0
Cultist,0.0
